packaging_material,submission_id,reporting_period,organisation_id,site_id,nation,packaging_class,activity,weight_tonnes,submission_date
Wood,REC-0201-2024Q2-SITE-A-WD01,2024-Q2,ORG-12345,SITE-A,England,Primary,Imported,,2024-10-04
Fibre-based composite,REC-0202-2024-Q3-SITE-B-FB01,2024-Q3,ORG-12345,SITE-B,Scotland,Tertiary,Exported,,2024-02-08
Paper/card,REC-0203-Q4 2024-SITE-D-PC01,,ORG-12345,SITE-D,Northern Ireland,Primary,Supplied as goods,,2024-07-06
Glass,REC-0204-Q4 2024-SITE-A-GL01,,ORG-12345,SITE-A,England,Secondary,Exported,,2024-08-22
Glass,REC-0205-2024-Q3-SITE-C-GL01,2024-Q3,ORG-12345,SITE-C,Wales,Shipment,Imported,,2024-08-30
Fibre-based composite,REC-0206-2024-Q3-SITE-A-FB01,2024-Q3,ORG-12345,SITE-A,England,Primary,Exported,,2024-08-24
Steel,REC-0207-Q2 2024-SITE-C-ST01,2024-Q2,ORG-12345,SITE-C,Wales,Tertiary,Supplied as goods,,2024-03-15
Wood,REC-0208-Q4 2024-SITE-C-WD01,,ORG-12345,SITE-C,Wales,Primary,Supplied as goods,,2024-01-31
Glass,REC-0209-2024-Q1-SITE-D-GL01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Tertiary,Imported,,2024-03-25
Other,REC-0210-2024-Q1-SITE-B-OT01,2024-Q1,ORG-12345,SITE-B,Scotland,Secondary,Imported,,2024-04-19
Wood,REC-0211-2024-Q3-SITE-C-WD01,2024-Q3,ORG-12345,SITE-C,Wales,Shipment,Imported,,2024-08-30
Aluminium,REC-0212-2024-Q1-SITE-B-AL01,2024-Q1,ORG-12345,SITE-B,Scotland,Shipment,Imported,,2024-02-21
Wood,REC-0213-2024-Q3-SITE-C-WD01,2024-Q3,ORG-12345,SITE-C,Wales,Primary,Exported,,2024-02-17
Other,REC-0214-2024-Q3-SITE-B-OT01,2024-Q3,ORG-12345,SITE-B,Scotland,Shipment,Imported,,2024-05-08
,REC-0215-2024-Q3-SITE-A-UNKNOWN,2024-Q3,ORG-12345,SITE-A,England,Primary,Supplied as goods,,2024-11-03
Paper/card,REC-0216-2024-Q3-SITE-A-PC01,2024-Q3,ORG-12345,SITE-A,England,Secondary,Exported,,2024-09-16
Other,REC-0217-2024-Q3-SITE-Z-OT01,2024-Q3,ORG-12345,SITE-Z,,Secondary,Imported,,2024-02-21
Wood,REC-0218-Q2 2024-SITE-E-WD01,2024-Q2,ORG-12345,SITE-E,England,Secondary,Exported,,2024-08-23
Other,REC-0219-Q2 2024-SITE-C-OT01,2024-Q2,ORG-12345,SITE-C,Wales,Tertiary,Supplied as goods,,2024-06-28
Aluminium,REC-0220-Q2 2024-SITE-C-AL01,2024-Q2,ORG-12345,SITE-C,Wales,Secondary,Exported,,2024-10-23
Steel,REC-0221-Q2 2024-SITE-E-ST01,2024-Q2,ORG-12345,SITE-E,England,Primary,Exported,,2024-11-07
Glass,REC-0222-2024-Q1-SITE-E-GL01,2024-Q1,ORG-12345,SITE-E,England,Primary,Exported,,2024-02-25
Plastic,REC-0223-Q4 2024-SITE-E-PL01,,ORG-12345,SITE-E,England,Tertiary,Exported,,2024-12-07
Plastic,REC-0224-Q2 2024-SITE-D-PL01,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Secondary,Exported,,2024-08-09
Steel,REC-0225-Q4 2024-SITE-D-ST01,,ORG-12345,SITE-D,Northern Ireland,Secondary,Supplied as goods,,2024-09-08
Aluminium,REC-0226-Q4 2024-SITE-C-AL01,,ORG-12345,SITE-C,Wales,Secondary,Exported,,2024-07-22
Other,REC-0227-2024-Q3-SITE-A-OT01,2024-Q3,ORG-12345,SITE-A,England,Shipment,Supplied as goods,,2024-05-20
Glass,REC-0228-Q4 2024-SITE-E-GL01,,ORG-12345,SITE-E,England,Primary,Supplied as goods,,2024-04-05
Paper/card,REC-0229-Q4 2024-SITE-D-PC01,,ORG-12345,SITE-D,Northern Ireland,Shipment,Exported,,2024-06-20
Wood,REC-0230-Q2 2024-SITE-B-WD01,2024-Q2,ORG-12345,SITE-B,Scotland,Primary,Supplied as goods,,2024-07-13
Plastic,REC-0231-2024-Q1-SITE-C-PL01,2024-Q1,ORG-12345,SITE-C,Wales,Primary,Imported,,2024-08-22
Glass,REC-0232-2024-Q1-SITE-C-GL01,2024-Q1,ORG-12345,SITE-C,Wales,Secondary,Exported,,2024-02-10
Other,REC-0233-Q4 2024-SITE-D-OT01,,ORG-12345,SITE-D,Northern Ireland,Primary,Imported,,2024-06-06
Plastic,REC-0234-2024-Q3-SITE-E-PL02,2024-Q3,ORG-12345,SITE-E,England,Primary,Supplied as goods,,2024-04-25
Other,REC-0235-2024-Q3-SITE-B-OT01,2024-Q3,ORG-12345,SITE-B,Scotland,Secondary,Exported,,2024-10-06
Wood,REC-0236-2024-Q3-SITE-C-WD01,2024-Q3,ORG-12345,SITE-C,Wales,Primary,Exported,,2024-08-03
Steel,REC-0237-2024-Q3-SITE-E-ST01,2024-Q3,ORG-12345,SITE-E,England,Shipment,Imported,,2024-01-23
Paper/card,REC-0238-2024-Q3-SITE-E-PC01,2024-Q3,ORG-12345,SITE-E,England,Secondary,Exported,,2025-01-01
Plastic,REC-0239-Q4 2024-SITE-A-PL01,,ORG-12345,SITE-A,England,Shipment,Imported,,2024-10-09
Fibre-based composite,REC-0240-2024-Q1-SITE-B-FB01,2024-Q1,ORG-12345,SITE-B,Scotland,Primary,Exported,,2024-06-23
Fibre-based composite,REC-0241-Q4 2024-SITE-E-FB01,,ORG-12345,SITE-E,England,Primary,Imported,,2024-02-15
Glass,REC-0242-Q4 2024-SITE-E-GL01,,ORG-12345,SITE-E,England,Shipment,Supplied as goods,,2024-04-12
Wood,REC-0243-Q4 2024-SITE-E-WD01,,ORG-12345,SITE-E,England,Shipment,Imported,,2024-05-20
Steel,REC-0244-Q2 2024-SITE-C-ST01,2024-Q2,ORG-12345,SITE-C,Wales,Shipment,Imported,,2025-01-09
Wood,REC-0245-2024-Q1-SITE-C-WD01,2024-Q1,ORG-12345,SITE-C,Wales,Secondary,Imported,,2024-12-26
Other,REC-0246-2024-Q1-SITE-C-OT01,2024-Q1,ORG-12345,SITE-C,Wales,Secondary,Imported,,2024-02-24
Paper/card,REC-0247-Q2 2024-SITE-B-PC01,2024-Q2,ORG-12345,SITE-B,Scotland,Secondary,Exported,,2024-06-01
Other,REC-0248-2024-Q1-SITE-B-OT01,2024-Q1,ORG-12345,SITE-B,Scotland,Tertiary,Imported,,2024-10-12
Aluminium,REC-0249-Q4 2024-SITE-C-AL01,,ORG-12345,SITE-C,Wales,Tertiary,Supplied as goods,,2024-12-28
Glass,REC-0250-Q4 2024-SITE-D-GL01,,ORG-12345,SITE-D,Northern Ireland,Primary,Exported,,2024-12-13
Aluminium,REC-0251-Q2 2024-SITE-A-AL01,2024-Q2,ORG-12345,SITE-A,England,Tertiary,Imported,,2024-02-03
Glass,REC-0252-Q4 2024-SITE-D-GL01,,ORG-12345,SITE-D,Northern Ireland,Secondary,Supplied as goods,,2024-06-11
Plastic,REC-0253-2024-Q3-SITE-C-PL01,2024-Q3,ORG-12345,SITE-C,Wales,Primary,Imported,,2024-12-08
Other,REC-0254-Q4 2024-SITE-E-OT01,,ORG-12345,SITE-E,England,Shipment,Imported,,2024-04-22
Plastic,REC-0255-2024-Q1-SITE-B-PL02,2024-Q1,ORG-12345,SITE-B,Scotland,Secondary,Supplied as goods,,2024-07-05
Steel,REC-0256-Q4 2024-SITE-E-ST01,,ORG-12345,SITE-E,England,Shipment,Exported,,2024-10-04
Paper/card,REC-0257-Q4 2024-SITE-B-PC01,,ORG-12345,SITE-B,Scotland,Primary,Imported,,2024-05-21
Plastic,REC-0258-2024-Q3-SITE-C-PL01,2024-Q3,ORG-12345,SITE-C,Wales,Secondary,Imported,,2024-11-03
Plastic,REC-0259-2024-Q1-SITE-A-PL01,2024-Q1,ORG-12345,SITE-A,England,Secondary,Exported,,2024-06-20
Glass,REC-0260-2024-Q3-SITE-A-GL01,2024-Q3,ORG-12345,SITE-A,England,Secondary,Exported,,2024-11-24
Aluminium,REC-0261-2024-Q3-SITE-E-AL01,2024-Q3,ORG-12345,SITE-E,England,Primary,Supplied as goods,,2025-01-08
Other,REC-0262-2024-Q1-SITE-B-OT01,2024-Q1,ORG-12345,SITE-B,Scotland,Secondary,Exported,,2024-08-30
Other,REC-0263-Q2 2024-SITE-A-OT01,2024-Q2,ORG-12345,SITE-A,England,Tertiary,Imported,,2024-10-15
Glass,REC-0264-Q2 2024-SITE-A-GL01,2024-Q2,ORG-12345,SITE-A,England,Primary,Imported,,2024-11-08
Wood,REC-0265-Q2 2024-SITE-D-WD01,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Primary,Exported,,2024-08-14
Wood,REC-0266-Q4 2024-SITE-A-WD01,,ORG-12345,SITE-A,England,Shipment,Supplied as goods,,2024-01-16
Aluminium,REC-0267-2024-Q1-SITE-A-AL01,2024-Q1,ORG-12345,SITE-A,England,Shipment,Supplied as goods,,2024-09-12
Plastic,REC-0268-2024-Q3-SITE-D-PL01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Secondary,Imported,,2024-08-31
Fibre-based composite,REC-0269-2024-Q1-SITE-C-FB01,2024-Q1,ORG-12345,SITE-C,Wales,Secondary,Supplied as goods,,2024-10-16
Fibre-based composite,REC-0270-2024-Q1-SITE-A-FB01,2024-Q1,ORG-12345,SITE-A,England,Shipment,Supplied as goods,,2024-09-08
Other,REC-0271-Q4 2024-SITE-B-OT01,,ORG-12345,SITE-B,Scotland,Secondary,Exported,,2024-04-03
Steel,REC-0272-2024-Q1-SITE-D-ST01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Primary,Exported,,2024-04-29
Plastic,REC-0273-2024-Q1-SITE-B-PL02,2024-Q1,ORG-12345,SITE-B,Scotland,Primary,Exported,,2024-08-26
Aluminium,REC-0274-2024-Q3-SITE-B-AL01,2024-Q3,ORG-12345,SITE-B,Scotland,Shipment,Supplied as goods,,2024-11-04
Paper/card,REC-0275-2024-Q3-SITE-B-PC01,2024-Q3,ORG-12345,SITE-B,Scotland,Shipment,Exported,,2024-12-18
Other,REC-0276-Q2 2024-SITE-E-OT01,2024-Q2,ORG-12345,SITE-E,England,Primary,Imported,,2024-12-27
Fibre-based composite,REC-0277-2024-Q3-SITE-D-FB01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Shipment,Imported,,2024-08-15
Fibre-based composite,REC-0278-Q2 2024-SITE-B-FB01,2024-Q2,ORG-12345,SITE-B,Scotland,Primary,Imported,,2024-03-28
Wood,REC-0279-Q2 2024-SITE-E-WD01,2024-Q2,ORG-12345,SITE-E,England,Primary,Exported,,2024-05-18
Steel,REC-0280-2024-Q1-SITE-C-ST01,2024-Q1,ORG-12345,SITE-C,Wales,Primary,Imported,,2024-04-21
Plastic,REC-0281-Q2 2024-SITE-A-PL01,2024-Q2,ORG-12345,SITE-A,England,Secondary,Imported,,2024-12-23
Other,REC-0282-2024-Q1-SITE-C-OT01,2024-Q1,ORG-12345,SITE-C,Wales,Primary,Imported,,2024-04-21
Plastic,REC-0283-Q2 2024-SITE-D-PL02,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Tertiary,Imported,,2024-06-27
Steel,REC-0284-2024-Q3-SITE-C-ST01,2024-Q3,ORG-12345,SITE-C,Wales,Secondary,Imported,,2024-10-03
Wood,REC-0285-Q2 2024-SITE-C-WD01,2024-Q2,ORG-12345,SITE-C,Wales,Secondary,Supplied as goods,,2024-06-23
Fibre-based composite,REC-0286-2024-Q3-SITE-A-FB01,2024-Q3,ORG-12345,SITE-A,England,Primary,Exported,,2024-11-09
Fibre-based composite,REC-0287-Q2 2024-SITE-D-FB01,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Secondary,Supplied as goods,,2024-10-22
Paper/card,REC-0288-Q2 2024-SITE-D-PC01,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Secondary,Imported,,2024-07-13
Glass,REC-0289-2024-Q1-SITE-E-GL01,2024-Q1,ORG-12345,SITE-E,England,Primary,Exported,,2024-02-01
Plastic,REC-0290-Q2 2024-SITE-D-PL02,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Tertiary,Exported,,2024-05-12
Plastic,REC-0291-2024-Q1-SITE-C-PL02,2024-Q1,ORG-12345,SITE-C,Wales,Tertiary,Supplied as goods,,2024-12-06
Wood,REC-0292-2024-Q1-SITE-A-WD01,2024-Q1,ORG-12345,SITE-A,England,Tertiary,Imported,,2024-06-03
Other,REC-0293-2024-Q1-SITE-B-OT01,2024-Q1,ORG-12345,SITE-B,Scotland,Secondary,Supplied as goods,,2024-10-09
Glass,REC-0294-2024-Q3-SITE-C-GL01,2024-Q3,ORG-12345,SITE-C,Wales,Primary,Supplied as goods,,2024-02-24
Paper/card,REC-0295-2024-Q1-SITE-C-PC01,2024-Q1,ORG-12345,SITE-C,Wales,Secondary,Imported,,2024-12-12
Plastic,REC-0296-2024-Q1-SITE-A-PL01,2024-Q1,ORG-12345,SITE-A,England,Primary,Imported,,2024-04-11
Plastic,REC-0297-2024-Q1-SITE-E-PL02,2024-Q1,ORG-12345,SITE-E,England,Secondary,Imported,,2024-02-05
Aluminium,REC-0298-2024-Q1-SITE-C-AL01,2024-Q1,ORG-12345,SITE-C,Wales,Primary,Exported,,2024-12-30
Steel,REC-0299-2024-Q1-SITE-C-ST01,2024-Q1,ORG-12345,SITE-C,Wales,Shipment,Exported,,2024-11-10
Glass,REC-0300-Q2 2024-SITE-C-GL01,2024-Q2,ORG-12345,SITE-C,Wales,Tertiary,Exported,,2024-05-17
Fibre-based composite,REC-0301-2024Q2-SITE-A-FB01,2024-Q2,ORG-12345,SITE-A,England,Tertiary,Exported,,2024-03-05
Fibre-based composite,REC-0302-2024-Q1-SITE-C-FB01,2024-Q1,ORG-12345,SITE-C,Wales,Primary,Supplied as goods,,2024-06-02
Wood,REC-0303-Q2 2024-SITE-D-WD01,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Primary,Supplied as goods,,2024-11-09
Fibre-based composite,REC-0304-2024-Q1-SITE-A-FB01,2024-Q1,ORG-12345,SITE-A,England,Primary,Exported,,2024-04-02
Fibre-based composite,REC-0305-2024-Q3-SITE-C-FB01,2024-Q3,ORG-12345,SITE-C,Wales,Tertiary,Exported,,2024-03-01
Plastic,REC-0306-Q2 2024-SITE-A-PL01,2024-Q2,ORG-12345,SITE-A,England,Secondary,Imported,,2024-04-19
Fibre-based composite,REC-0307-2024-Q1-SITE-A-FB01,2024-Q1,ORG-12345,SITE-A,England,Secondary,Exported,,2024-03-15
Other,REC-0308-2024-Q1-SITE-D-OT01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Primary,Exported,,2024-08-13
Fibre-based composite,REC-0309-Q2 2024-SITE-E-FB01,2024-Q2,ORG-12345,SITE-E,England,Tertiary,Supplied as goods,,2024-07-27
Glass,REC-0310-2024-Q1-SITE-B-GL01,2024-Q1,ORG-12345,SITE-B,Scotland,Primary,Imported,,2024-08-24
Steel,REC-0311-2024-Q3-SITE-C-ST01,2024-Q3,ORG-12345,SITE-C,Wales,Secondary,Imported,,2024-11-30
Wood,REC-0312-2024-Q3-SITE-B-WD01,2024-Q3,ORG-12345,SITE-B,Scotland,Shipment,Exported,,2024-08-04
Paper/card,REC-0313-2024-Q3-SITE-D-PC01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Tertiary,Exported,,2024-12-13
Glass,REC-0314-2024-Q3-SITE-D-GL01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Secondary,Imported,,2024-08-05
,REC-0315-Q2 2024-SITE-E-UNKNOWN,2024-Q2,ORG-12345,SITE-E,England,Secondary,Exported,,2024-07-25
Steel,REC-0316-Q2 2024-SITE-E-ST01,2024-Q2,ORG-12345,SITE-E,England,Tertiary,Imported,,2024-10-22
Plastic,REC-0317-2024-Q3-SITE-Z-PL01,2024-Q3,ORG-12345,SITE-Z,,Tertiary,Imported,,2024-02-19
Fibre-based composite,REC-0318-2024-Q3-SITE-B-FB01,2024-Q3,ORG-12345,SITE-B,Scotland,Tertiary,Imported,,2024-04-02
Fibre-based composite,REC-0319-Q4 2024-SITE-E-FB01,,ORG-12345,SITE-E,England,Tertiary,Imported,,2024-09-30
Fibre-based composite,REC-0320-2024-Q1-SITE-E-FB01,2024-Q1,ORG-12345,SITE-E,England,Shipment,Supplied as goods,,2024-05-21
Paper/card,REC-0321-Q4 2024-SITE-C-PC01,,ORG-12345,SITE-C,Wales,Primary,Exported,,2024-01-20
Plastic,REC-0322-2024-Q3-SITE-D-PL02,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Secondary,Supplied as goods,,2024-09-08
Other,REC-0323-2024-Q3-SITE-A-OT01,2024-Q3,ORG-12345,SITE-A,England,Primary,Imported,,2024-02-27
Plastic,REC-0324-Q4 2024-SITE-C-PL02,,ORG-12345,SITE-C,Wales,Tertiary,Exported,,2024-10-07
Wood,REC-0325-2024-Q1-SITE-C-WD01,2024-Q1,ORG-12345,SITE-C,Wales,Secondary,Imported,,2024-02-06
Plastic,REC-0326-Q2 2024-SITE-B-PL02,2024-Q2,ORG-12345,SITE-B,Scotland,Primary,Imported,,2024-04-05
Paper/card,REC-0327-Q2 2024-SITE-D-PC01,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Shipment,Imported,,2024-12-07
Fibre-based composite,REC-0328-Q4 2024-SITE-D-FB01,,ORG-12345,SITE-D,Northern Ireland,Secondary,Supplied as goods,,2024-01-17
Aluminium,REC-0329-2024-Q1-SITE-E-AL01,2024-Q1,ORG-12345,SITE-E,England,Primary,Imported,,2024-04-19
Paper/card,REC-0330-2024-Q3-SITE-D-PC01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Secondary,Supplied as goods,,2024-07-31
Fibre-based composite,REC-0331-Q2 2024-SITE-E-FB01,2024-Q2,ORG-12345,SITE-E,England,Shipment,Supplied as goods,,2024-06-15
Plastic,REC-0332-2024-Q1-SITE-C-PL02,2024-Q1,ORG-12345,SITE-C,Wales,Tertiary,Supplied as goods,,2024-07-24
Glass,REC-0333-Q4 2024-SITE-E-GL01,,ORG-12345,SITE-E,England,Shipment,Imported,,2024-04-19
Wood,REC-0334-Q2 2024-SITE-E-WD01,2024-Q2,ORG-12345,SITE-E,England,Tertiary,Exported,,2024-06-10
Glass,REC-0335-2024-Q1-SITE-C-GL01,2024-Q1,ORG-12345,SITE-C,Wales,Primary,Imported,,2024-03-24
Aluminium,REC-0336-Q4 2024-SITE-D-AL01,,ORG-12345,SITE-D,Northern Ireland,Tertiary,Imported,,2024-08-29
Wood,REC-0337-2024-Q1-SITE-C-WD01,2024-Q1,ORG-12345,SITE-C,Wales,Primary,Supplied as goods,,2024-05-09
Other,REC-0338-2024-Q1-SITE-E-OT01,2024-Q1,ORG-12345,SITE-E,England,Secondary,Supplied as goods,,2024-03-13
Steel,REC-0339-2024-Q1-SITE-E-ST01,2024-Q1,ORG-12345,SITE-E,England,Tertiary,Exported,,2024-08-27
Other,REC-0340-2024-Q1-SITE-C-OT01,2024-Q1,ORG-12345,SITE-C,Wales,Primary,Imported,,2024-05-28
Paper/card,REC-0341-Q2 2024-SITE-B-PC01,2024-Q2,ORG-12345,SITE-B,Scotland,Tertiary,Supplied as goods,,2024-11-11
Paper/card,REC-0342-Q2 2024-SITE-B-PC01,2024-Q2,ORG-12345,SITE-B,Scotland,Tertiary,Exported,,2024-04-29
Plastic,REC-0343-2024-Q3-SITE-C-PL01,2024-Q3,ORG-12345,SITE-C,Wales,Shipment,Imported,,2024-11-03
Steel,REC-0344-Q4 2024-SITE-B-ST01,,ORG-12345,SITE-B,Scotland,Tertiary,Exported,,2024-06-04
Glass,REC-0345-Q4 2024-SITE-B-GL01,,ORG-12345,SITE-B,Scotland,Tertiary,Supplied as goods,,2024-03-27
Steel,REC-0346-Q4 2024-SITE-A-ST01,,ORG-12345,SITE-A,England,Tertiary,Imported,,2024-06-05
Paper/card,REC-0347-Q4 2024-SITE-A-PC01,,ORG-12345,SITE-A,England,Secondary,Imported,,2024-12-20
Paper/card,REC-0348-Q4 2024-SITE-B-PC01,,ORG-12345,SITE-B,Scotland,Tertiary,Supplied as goods,,2024-09-24
Steel,REC-0349-Q4 2024-SITE-E-ST01,,ORG-12345,SITE-E,England,Secondary,Imported,,2024-12-29
Plastic,REC-0350-2024-Q1-SITE-A-PL01,2024-Q1,ORG-12345,SITE-A,England,Primary,Supplied as goods,,2024-08-27
Wood,REC-0351-Q2 2024-SITE-C-WD01,2024-Q2,ORG-12345,SITE-C,Wales,Primary,Imported,,2024-03-02
Paper/card,REC-0352-Q4 2024-SITE-A-PC01,,ORG-12345,SITE-A,England,Secondary,Supplied as goods,,2024-06-19
Aluminium,REC-0353-Q2 2024-SITE-A-AL01,2024-Q2,ORG-12345,SITE-A,England,Secondary,Exported,,2024-02-23
Glass,REC-0354-2024-Q1-SITE-A-GL01,2024-Q1,ORG-12345,SITE-A,England,Shipment,Supplied as goods,,2024-07-08
Plastic,REC-0355-Q2 2024-SITE-A-PL02,2024-Q2,ORG-12345,SITE-A,England,Tertiary,Imported,,2024-02-29
Plastic,REC-0356-Q4 2024-SITE-B-PL02,,ORG-12345,SITE-B,Scotland,Primary,Imported,,2024-12-08
Glass,REC-0357-2024-Q3-SITE-D-GL01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Primary,Exported,,2024-05-03
Glass,REC-0358-2024-Q1-SITE-A-GL01,2024-Q1,ORG-12345,SITE-A,England,Secondary,Exported,,2024-03-18
Fibre-based composite,REC-0359-2024-Q3-SITE-B-FB01,2024-Q3,ORG-12345,SITE-B,Scotland,Secondary,Imported,,2024-02-27
Aluminium,REC-0360-2024-Q3-SITE-A-AL01,2024-Q3,ORG-12345,SITE-A,England,Shipment,Exported,,2024-10-06
Other,REC-0361-Q4 2024-SITE-B-OT01,,ORG-12345,SITE-B,Scotland,Primary,Exported,,2024-03-12
Aluminium,REC-0362-2024-Q3-SITE-C-AL01,2024-Q3,ORG-12345,SITE-C,Wales,Secondary,Exported,,2024-07-31
Fibre-based composite,REC-0363-2024-Q1-SITE-A-FB01,2024-Q1,ORG-12345,SITE-A,England,Secondary,Exported,,2024-02-18
Plastic,REC-0364-2024-Q3-SITE-D-PL01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Secondary,Supplied as goods,,2024-09-27
Fibre-based composite,REC-0365-2024-Q1-SITE-C-FB01,2024-Q1,ORG-12345,SITE-C,Wales,Secondary,Exported,,2024-02-24
Other,REC-0366-2024-Q1-SITE-E-OT01,2024-Q1,ORG-12345,SITE-E,England,Primary,Supplied as goods,,2025-01-06
Fibre-based composite,REC-0367-2024-Q1-SITE-D-FB01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Tertiary,Supplied as goods,,2024-11-23
Plastic,REC-0368-2024-Q1-SITE-A-PL01,2024-Q1,ORG-12345,SITE-A,England,Secondary,Exported,,2024-03-25
Plastic,REC-0369-2024-Q3-SITE-B-PL01,2024-Q3,ORG-12345,SITE-B,Scotland,Primary,Imported,,2024-05-31
Plastic,REC-0370-2024-Q1-SITE-C-PL02,2024-Q1,ORG-12345,SITE-C,Wales,Tertiary,Supplied as goods,,2024-11-05
Plastic,REC-0371-Q2 2024-SITE-D-PL02,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Secondary,Imported,,2024-04-04
Steel,REC-0372-2024-Q1-SITE-B-ST01,2024-Q1,ORG-12345,SITE-B,Scotland,Tertiary,Supplied as goods,,2024-01-21
Aluminium,REC-0373-2024-Q1-SITE-B-AL01,2024-Q1,ORG-12345,SITE-B,Scotland,Primary,Imported,,2024-12-15
Fibre-based composite,REC-0374-2024-Q1-SITE-C-FB01,2024-Q1,ORG-12345,SITE-C,Wales,Primary,Imported,,2024-07-23
Plastic,REC-0375-2024-Q1-SITE-B-PL02,2024-Q1,ORG-12345,SITE-B,Scotland,Shipment,Exported,,2024-02-19
Wood,REC-0376-2024-Q1-SITE-C-WD01,2024-Q1,ORG-12345,SITE-C,Wales,Tertiary,Imported,,2024-09-04
Plastic,REC-0377-Q2 2024-SITE-E-PL01,2024-Q2,ORG-12345,SITE-E,England,Secondary,Supplied as goods,,2024-07-21
Wood,REC-0378-2024-Q1-SITE-B-WD01,2024-Q1,ORG-12345,SITE-B,Scotland,Tertiary,Supplied as goods,,2024-01-27
Aluminium,REC-0379-2024-Q1-SITE-C-AL01,2024-Q1,ORG-12345,SITE-C,Wales,Shipment,Imported,,2024-07-25
Steel,REC-0380-Q4 2024-SITE-D-ST01,,ORG-12345,SITE-D,Northern Ireland,Primary,Supplied as goods,,2024-03-27
Steel,REC-0381-Q4 2024-SITE-C-ST01,,ORG-12345,SITE-C,Wales,Primary,Supplied as goods,,2024-02-27
Plastic,REC-0382-2024-Q1-SITE-A-PL02,2024-Q1,ORG-12345,SITE-A,England,Shipment,Supplied as goods,,2024-12-19
Glass,REC-0383-2024-Q3-SITE-D-GL01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Primary,Imported,,2024-09-02
Steel,REC-0384-2024-Q1-SITE-E-ST01,2024-Q1,ORG-12345,SITE-E,England,Primary,Supplied as goods,,2024-03-09
Glass,REC-0385-2024-Q3-SITE-E-GL01,2024-Q3,ORG-12345,SITE-E,England,Secondary,Imported,,2024-09-02
Steel,REC-0386-2024-Q3-SITE-B-ST01,2024-Q3,ORG-12345,SITE-B,Scotland,Secondary,Imported,,2025-01-05
Plastic,REC-0387-Q4 2024-SITE-C-PL01,,ORG-12345,SITE-C,Wales,Primary,Imported,,2024-02-09
Steel,REC-0388-Q2 2024-SITE-D-ST01,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Secondary,Supplied as goods,,2024-09-07
Plastic,REC-0389-Q2 2024-SITE-B-PL02,2024-Q2,ORG-12345,SITE-B,Scotland,Tertiary,Supplied as goods,,2024-08-07
Paper/card,REC-0390-2024-Q3-SITE-E-PC01,2024-Q3,ORG-12345,SITE-E,England,Tertiary,Exported,,2024-01-26
Plastic,REC-0391-2024-Q3-SITE-A-PL02,2024-Q3,ORG-12345,SITE-A,England,Primary,Exported,,2024-02-05
Wood,REC-0392-Q4 2024-SITE-D-WD01,,ORG-12345,SITE-D,Northern Ireland,Primary,Supplied as goods,,2024-07-28
Fibre-based composite,REC-0393-2024-Q3-SITE-C-FB01,2024-Q3,ORG-12345,SITE-C,Wales,Primary,Imported,,2024-03-31
Plastic,REC-0394-Q4 2024-SITE-D-PL01,,ORG-12345,SITE-D,Northern Ireland,Shipment,Exported,,2024-09-16
Plastic,REC-0395-Q2 2024-SITE-B-PL01,2024-Q2,ORG-12345,SITE-B,Scotland,Primary,Imported,,2024-10-19
Plastic,REC-0396-2024-Q3-SITE-C-PL01,2024-Q3,ORG-12345,SITE-C,Wales,Secondary,Exported,,2024-06-01
Glass,REC-0397-2024-Q1-SITE-C-GL01,2024-Q1,ORG-12345,SITE-C,Wales,Primary,Imported,,2024-10-12
Paper/card,REC-0398-Q2 2024-SITE-A-PC01,2024-Q2,ORG-12345,SITE-A,England,Tertiary,Exported,,2024-05-17
Steel,REC-0399-Q4 2024-SITE-E-ST01,,ORG-12345,SITE-E,England,Shipment,Exported,,2024-04-12
Glass,REC-0400-2024-Q1-SITE-E-GL01,2024-Q1,ORG-12345,SITE-E,England,Primary,Exported,,2025-01-07
Paper/card,REC-0401-2024Q2-SITE-D-PC01,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Shipment,Exported,,2024-09-22
Plastic,REC-0402-Q4 2024-SITE-A-PL01,,ORG-12345,SITE-A,England,Primary,Supplied as goods,,2024-07-02
